id,model,var,table_id,nan_sum,nan_per,nmin,nmax,nmean,unit,shape,size
0,CMCC-ESM2,hfls,Amon,0,0.00,-12.452746,499.31842,64.83959,W m-2,"(192, 288)",55296
1,CMCC-ESM2,evspsbl,Amon,0,0.00,-0.000004979107,0.00019964752,0.00002592547,kg m-2 s-1,"(192, 288)",55296
2,CMCC-ESM2,mrso,Lmon,0,0.00,0,1746.5422,277.45425,kg m-2,"(192, 288)",55296
3,CMCC-ESM2,pr,Amon,0,0.00,4.684705E-11,0.0007542048,0.000027944636,kg m-2 s-1,"(192, 288)",55296
4,CMCC-ESM2,tas,Amon,0,0.00,228.79575,306.9863,276.7338,K,"(192, 288)",55296
5,IPSL-CM6A-LR,hfls,Amon,0,0.00,-5.9376574,361.8863,62.264088,W m-2,"(143, 144)",20592
6,IPSL-CM6A-LR,evspsbl,Amon,0,0.00,-0.0000023047849,0.0001447082,0.000024838258,kg m-2 s-1,"(143, 144)",20592
7,IPSL-CM6A-LR,mrso,Lmon,14954,72.62,137.4626,847.12317,489.36475,kg m-2,"(143, 144)",20592
8,IPSL-CM6A-LR,pr,Amon,0,0.00,0,0.0010045549,0.000026990703,kg m-2 s-1,"(143, 144)",20592
9,IPSL-CM6A-LR,tas,Amon,0,0.00,224.99548,999999,874690.6,K,"(143, 144)",20592
10,MIROC6,hfls,Amon,0,0.00,-11.230654,584.5487,68.085014,W m-2,"(128, 256)",32768
11,MIROC6,evspsbl,Eday,0,0.00,-0.0000044922617,0.00023381948,0.00002723401,kg m-2 s-1,"(128, 256)",32768
12,MIROC6,mrso,Lmon,19722,60.19,556.0343,6995.3325,4811.9175,kg m-2,"(128, 256)",32768
13,MIROC6,pr,Amon,0,0.00,3.3251923E-12,0.00042058603,0.000029352908,kg m-2 s-1,"(128, 256)",32768
14,MIROC6,tas,Amon,0,0.00,236.26292,314.31372,278.12106,K,"(128, 256)",32768
15,CESM2,hfls,Amon,0,0.00,-6.0388646,508.89795,62.621284,W m-2,"(192, 288)",55296
16,CESM2,evspsbl,Amon,0,0.00,-0.0000021303363,0.00020347779,0.00002501414,kg m-2 s-1,"(192, 288)",55296
17,CESM2,mrso,Lmon,40019,72.37,62.809917,4019.0723,1599.3821,kg m-2,"(192, 288)",55296
18,CESM2,pr,Amon,0,0.00,5.249799E-15,0.0004597287,0.000026734197,kg m-2 s-1,"(192, 288)",55296
19,CESM2,tas,Amon,0,0.00,230.225,308.85025,276.16794,K,"(192, 288)",55296
20,CNRM-CM6-1,hfls,Amon,0,0.00,-3.6580677,482.70172,62.989117,W m-2,"(128, 256)",32768
21,CNRM-CM6-1,evspsbl,Amon,0,0.00,-0.0000013891939,0.00019301892,0.000025154211,kg m-2 s-1,"(128, 256)",32768
22,CNRM-CM6-1,mrso,Lmon,19129,58.38,23.975025,7654.2886,2713.2634,kg m-2,"(128, 256)",32768
23,CNRM-CM6-1,pr,Amon,0,0.00,6.456528E-17,0.00038086608,0.00002675587,kg m-2 s-1,"(128, 256)",32768
24,CNRM-CM6-1,tas,Amon,0,0.00,225.33325,306.7414,275.2708,K,"(128, 256)",32768
25,MPI-ESM1-2-LR,hfls,Amon,0,0.00,-8.597656,385.1836,60.847305,W m-2,"(96, 192)",18432
26,MPI-ESM1-2-LR,evspsbl,Amon,0,0.00,-0.0000045384368,0.0001522083,0.000024140018,kg m-2 s-1,"(96, 192)",18432
27,MPI-ESM1-2-LR,mrso,Lmon,12210,66.24,0,3700.9658,412.32642,kg m-2,"(96, 192)",18432
28,MPI-ESM1-2-LR,pr,Amon,0,0.00,2.098156E-16,0.00033486323,0.000026587137,kg m-2 s-1,"(96, 192)",18432
29,MPI-ESM1-2-LR,tas,Amon,0,0.00,233.55322,308.7876,276.91568,K,"(96, 192)",18432
30,EC-Earth3,hfls,Amon,0,0.00,-11.92269,522.2456,61.905434,W m-2,"(256, 512)",131072
31,EC-Earth3,evspsbl,Amon,0,0.00,-0.00017922255,0.0000033600563,-0.000025306379,kg m-2 s-1,"(256, 512)",131072
32,EC-Earth3,mrso,Lmon,86916,66.31,-3.3008374E-21,2073.9136,651.274,kg m-2,"(256, 512)",131072
33,EC-Earth3,pr,Amon,0,0.00,-2.0094363E-25,0.00053557573,0.0000265537,kg m-2 s-1,"(256, 512)",131072
34,EC-Earth3,tas,Amon,0,0.00,228.819,307.4327,276.22443,K,"(256, 512)",131072
