,model,var,nan_sum,nan_per,nmin,nmax,nmean,unit,shape,size
0,CMCC-ESM2,hfls,0,0,-4.198795,445.28113,65.98824,W m-2,"(90, 180)",16200
1,IPSL-CM6A-LR,hfls,0,0,-2.7110033,488.1128,64.17272,W m-2,"(90, 180)",16200
2,MIROC6,hfls,0,0,-2.7617228,421.85626,66.23032,W m-2,"(90, 180)",16200
3,CESM2,hfls,0,0,-3.4499779,452.2539,63.036194,W m-2,"(90, 180)",16200
4,CNRM-CM6-1,hfls,0,0,-2.6787965,518.723,62.624207,W m-2,"(90, 180)",16200
5,MPI-ESM1-2-LR,hfls,0,0,-6.418366,433.82544,59.89531,W m-2,"(90, 180)",16200
6,EC-Earth3,hfls,0,0,-7.9482656,431.82468,63.580654,W m-2,"(90, 180)",16200
7,CMCC-ESM2,evspsbl,0,0,-0.0000016788464,0.00017804124,0.000026384743,kg m-2 s-1,"(90, 180)",16200
8,IPSL-CM6A-LR,evspsbl,0,0,-0.0000010914391,0.00019518266,0.000025610678,kg m-2 s-1,"(90, 180)",16200
9,MIROC6,evspsbl,0,0,-0.0000011046891,0.00016874251,0.000026492131,kg m-2 s-1,"(90, 180)",16200
10,CESM2,evspsbl,0,0,-0.0000013086304,0.00018082923,0.000025181318,kg m-2 s-1,"(90, 180)",16200
11,CNRM-CM6-1,evspsbl,0,0,-0.0000009587939,0.00020742283,0.000025010202,kg m-2 s-1,"(90, 180)",16200
12,MPI-ESM1-2-LR,evspsbl,0,0,-0.0000022649529,0.00017347494,0.000023933917,kg m-2 s-1,"(90, 180)",16200
13,EC-Earth3,evspsbl,0,0,-0.0001726744,0.0000028040567,-0.000025403342,kg m-2 s-1,"(90, 180)",16200
14,CMCC-ESM2,mrso,12377,76.4012345679012,212.9217,1692.1437,1032.803,kg m-2,"(90, 180)",16200
15,IPSL-CM6A-LR,mrso,12417,76.6481481481481,140.32487,820.54785,476.75592,kg m-2,"(90, 180)",16200
16,MIROC6,mrso,10402,64.2098765432099,593.04736,6507.3564,4770.426,kg m-2,"(90, 180)",16200
17,CESM2,mrso,12309,75.9814814814815,100.84906,3940.4495,1595.3474,kg m-2,"(90, 180)",16200
18,CNRM-CM6-1,mrso,10153,62.6728395061728,31.14304,6814.5767,2757.6296,kg m-2,"(90, 180)",16200
19,MPI-ESM1-2-LR,mrso,11538,71.2222222222222,0,3346.1438,403.71066,kg m-2,"(90, 180)",16200
20,EC-Earth3,mrso,11111,68.5864197530864,-1.7260802E-21,2013.6869,644.9215,kg m-2,"(90, 180)",16200
21,CMCC-ESM2,pr,0,0,5.071314E-11,0.00042957568,0.000028161061,kg m-2 s-1,"(90, 180)",16200
22,IPSL-CM6A-LR,pr,0,0,0,0.00031989862,0.000027826987,kg m-2 s-1,"(90, 180)",16200
23,MIROC6,pr,0,0,2.1875587E-12,0.0005194356,0.000028622926,kg m-2 s-1,"(90, 180)",16200
24,CESM2,pr,0,0,2.0510542E-13,0.00038397676,0.00002780089,kg m-2 s-1,"(90, 180)",16200
25,CNRM-CM6-1,pr,0,0,2.7586052E-18,0.0003246065,0.000026803287,kg m-2 s-1,"(90, 180)",16200
26,MPI-ESM1-2-LR,pr,0,0,6.8296203E-16,0.00037836624,0.000026218151,kg m-2 s-1,"(90, 180)",16200
27,EC-Earth3,pr,0,0,-4.2349855E-25,0.00026734022,0.000027201007,kg m-2 s-1,"(90, 180)",16200
28,CMCC-ESM2,tas,0,0,232.14326,305.03702,278.1537,K,"(90, 180)",16200
29,IPSL-CM6A-LR,tas,0,0,224.39833,303.5466,275.87314,K,"(90, 180)",16200
30,MIROC6,tas,0,0,229.22417,314.0619,278.35828,K,"(90, 180)",16200
31,CESM2,tas,0,0,232.7898,309.84323,277.04016,K,"(90, 180)",16200
32,CNRM-CM6-1,tas,0,0,227.4097,307.69745,275.7666,K,"(90, 180)",16200
33,MPI-ESM1-2-LR,tas,0,0,234.35213,310.2677,276.3907,K,"(90, 180)",16200
34,EC-Earth3,tas,0,0,229.93793,307.18463,276.16034,K,"(90, 180)",16200
